toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source,toxin_type_encoded,binding_type_encoded,binding_site_encoded
Snake Venom Metalloproteinase,Mixed,-0.390468074910697,CDR-H3,P84035.1,6IOM_B,real,4,3,2
Phospholipase A2,Conformational,-0.3508087100548897,Multiple CDRs,AAB25792.1,9MI0_L,real,3,1,14
Snake Venom Metalloproteinase,Specific,-0.08395095948666424,Substrate Recognition Site,SYN_TOX_SVMP_93,SYN_MAB_35_H,synthetic,4,4,20
Cysteine-Rich Secretory Protein,Broad-spectrum,-0.18671206680535515,Multiple epitopes,SYN_TOX_CRISP_84,SYN_MAB_18_H,synthetic,0,0,15
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,2.306850427974754,Multiple epitopes,SYN_TOX_KSPI_5,SYN_MAB_40_H,synthetic,2,0,15
Snake Venom Serine Protease,Mixed,-0.3872567903069879,Multiple CDRs,P0DJF6.1,P13987.1,real,5,3,14
Snake Venom Serine Protease,Mixed,-0.12039903973876241,CDR-H3,A8QL53.1,9CLP_H,real,5,3,2
Snake Venom Serine Protease,Linear,0.35294431084795763,Multiple CDRs,P84787.1,4V1D_A,real,5,2,14
Cysteine-Rich Secretory Protein,Mixed,-0.3296142316704097,CDR-H3,XP_026549114.1,9CLP_H,real,0,3,2
Cysteine-Rich Secretory Protein,Linear,-0.3236733551535479,Multiple CDRs,XP_026547764.1,9CLP_C,real,0,2,14
Snake Venom Serine Protease,Conformational,0.9136346026555648,Multiple CDRs,A7LAC7.1,4V1D_D,real,5,1,14
Cysteine-Rich Secretory Protein,Mixed,-0.37200318843936975,CDR-H3,XP_026568634.1,9CLP_L,real,0,3,2
Snake Venom Metalloproteinase,Mixed,-0.4013864425633079,Multiple CDRs,F8RKW1.1,NP_001265042.1,real,4,3,14
Snake Venom Metalloproteinase,Linear,-0.35145096697563155,CDR-H3,Q5XUW8.1,9MIB_L,real,4,2,2
Cysteine-Rich Secretory Protein,Linear,0.3600091369761176,Multiple CDRs,XP_070588618.1,P13987.1,real,0,2,14
Snake Venom Metalloproteinase,Linear,-0.3549833800397115,CDR-H3,C0HJU2.1,1CDR_A,real,4,2,2
Cysteine-Rich Secretory Protein,Conformational,-0.051677549219387844,Multiple CDRs,6IMF_A,4V1D_D,real,0,1,14
Snake Venom Metalloproteinase,Conformational,-0.29091825219571515,Multiple CDRs,P84035.1,4V1D_E,real,4,1,14
Snake Venom Metalloproteinase,Mixed,-0.19795156291833696,Multiple CDRs,P0DQT6.1,NP_001424713.1,real,4,3,14
Phospholipase A2,Linear,-0.37120036728844247,Multiple CDRs,XCA51213.1,1CDS_A,real,3,2,14
Snake Venom Serine Protease,Linear,-0.3691130322960315,Multiple CDRs,Q9PT51.1,9MIA_P,real,5,2,14
Snake Venom Serine Protease,Mixed,-0.3244761763044752,CDR-H3,E0Y419.1,1CDR_A,real,5,3,2
Snake Venom Serine Protease,Conformational,-0.30777749636518786,Multiple CDRs,C0HK19.1,P13987.1,real,5,1,14
Cysteine-Rich Secretory Protein,Linear,-0.37360883074122425,CDR-H3,AAP20603.1,Q9HCN6.4,real,0,2,2
Phospholipase A2,Linear,-0.2335968220195079,CDR-H3,XCA51353.1,6IOM_A,real,3,2,2
Snake Venom Serine Protease,Linear,-0.14111182543268605,Multiple CDRs,D8MIA2.1,9CLP_L,real,5,2,14
Snake Venom Metalloproteinase,Linear,-0.3455100904587697,Multiple CDRs,P17347.3,4V1D_A,real,4,2,14
Snake Venom Metalloproteinase,Mixed,-0.1639119461190206,Multiple CDRs,A8QL59.1,9CLP_L,real,4,3,14
