toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source
Snake Venom Metalloproteinase,Mixed,2.91,CDR-H3,P84035.1,6IOM_B,real
Phospholipase A2,Conformational,5.38,Multiple CDRs,AAB25792.1,9MI0_L,real
Snake Venom Metalloproteinase,Specific,22.0,Substrate Recognition Site,SYN_TOX_SVMP_93,SYN_MAB_35_H,synthetic
Cysteine-Rich Secretory Protein,Broad-spectrum,15.6,Multiple epitopes,SYN_TOX_CRISP_84,SYN_MAB_18_H,synthetic
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,170.9,Multiple epitopes,SYN_TOX_KSPI_5,SYN_MAB_40_H,synthetic
Snake Venom Serine Protease,Mixed,3.11,Multiple CDRs,P0DJF6.1,P13987.1,real
Snake Venom Serine Protease,Mixed,19.73,CDR-H3,A8QL53.1,9CLP_H,real
Snake Venom Serine Protease,Linear,49.21,Multiple CDRs,P84787.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Mixed,6.7,CDR-H3,XP_026549114.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Linear,7.07,Multiple CDRs,XP_026547764.1,9CLP_C,real
Snake Venom Serine Protease,Conformational,84.13,Multiple CDRs,A7LAC7.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Mixed,4.06,CDR-H3,XP_026568634.1,9CLP_L,real
Snake Venom Metalloproteinase,Mixed,2.23,Multiple CDRs,F8RKW1.1,NP_001265042.1,real
Snake Venom Metalloproteinase,Linear,5.34,CDR-H3,Q5XUW8.1,9MIB_L,real
Cysteine-Rich Secretory Protein,Linear,49.65,Multiple CDRs,XP_070588618.1,P13987.1,real
Snake Venom Metalloproteinase,Linear,5.12,CDR-H3,C0HJU2.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Conformational,24.01,Multiple CDRs,6IMF_A,4V1D_D,real
Snake Venom Metalloproteinase,Conformational,9.11,Multiple CDRs,P84035.1,4V1D_E,real
Snake Venom Metalloproteinase,Mixed,14.9,Multiple CDRs,P0DQT6.1,NP_001424713.1,real
Phospholipase A2,Linear,4.11,Multiple CDRs,XCA51213.1,1CDS_A,real
Snake Venom Serine Protease,Linear,4.24,Multiple CDRs,Q9PT51.1,9MIA_P,real
Snake Venom Serine Protease,Mixed,7.02,CDR-H3,E0Y419.1,1CDR_A,real
Snake Venom Serine Protease,Conformational,8.06,Multiple CDRs,C0HK19.1,P13987.1,real
Cysteine-Rich Secretory Protein,Linear,3.96,CDR-H3,AAP20603.1,Q9HCN6.4,real
