toxin_id,toxin_type,antibody_id,binding_affinity_nM,neutralization_percentage,binding_type,binding_site,species
U5PZ28.1,Snake Venom Metalloproteinase,9MIA_R,10.05,58.7,Mixed,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,9MI0_R,4.98,76.2,Mixed,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,9CU6_K,11.1,26.2,Mixed,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,9CU5_K,7.28,49.6,Mixed,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,9CU5_J,52.86,0.0,Mixed,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,9CLP_L,1.04,100.0,Mixed,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,9CLP_H,4.34,67.6,Conformational,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,9CLP_C,11.3,38.8,Mixed,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,NP_000602.1,8.19,64.9,Mixed,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,NP_001265042.1,5.53,63.2,Linear,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,P13987.1,3.71,100.0,Linear,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,NP_001424713.1,6.63,67.2,Mixed,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,Q9HCN6.4,12.34,36.8,Conformational,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,P00740.2,66.2,0.0,Conformational,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,1CDQ_A,10.25,46.1,Conformational,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,6ION_A,2.64,91.8,Mixed,CDR-H3,Bothriechis lateralis
